"University_link","Picture_Url","University_Name","nation_flag_picture","Country","City","Rank_In_Australia","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/massey-university-503390","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Massey University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Palmerston North","#34","#598","48.3","18,570","(tie)"
"https://www.usnews.com/education/best-global-universities/victoria-university-528927","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Victoria University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Footscray","#35","#649","47.0","14,387","(tie)"
"https://www.usnews.com/education/best-global-universities/murdoch-university-528818","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Murdoch University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Murdoch","#36","#673","46.4","16,641","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-waikato-528934","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Waikato","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Hamilton","#37","#739","44.6","10,472","(tie)"
"https://www.usnews.com/education/best-global-universities/charles-sturt-university-528979","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Charles Sturt University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Wagga Wagga","#38","#764","44.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-new-england-528095","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of New England","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Armidale","#39","#821","42.5","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/charles-darwin-university-528963","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Charles Darwin University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Casuarina","#40","#959","39.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/southern-cross-university-528998","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Southern Cross University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","East Lismore","#41","#997","38.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/lincoln-university-new-zealand-529113","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Lincoln University - New Zealand","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Lincoln (New Zealand)","#42","#1,032","38.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-the-sunshine-coast-529403","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of the Sunshine Coast","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Sippy Downs","#43","#1,072","37.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/central-queensland-university-529603","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Central Queensland University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Rockhampton North","#44","#1,095","36.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/federation-university-australia-529602","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Federation University Australia","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Mt. Helen","#45","#1,288","32.5","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/bond-university-529370","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bond University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Robina","#46","#1,455","28.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-notre-dame-australia-529708","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Notre Dame Australia","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Fremantle","#47","#1,511","27.6","N/A","(tie)"
