"University_link","Picture_Url","University_Name","City","Rank_In_India","Rank_In_World","Comparison","Global_Score","Enrollment"
"https://www.usnews.com/education/best-global-universities/guru-nanak-dev-university-529309","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Guru Nanak Dev University","Amritsar","#63","#1,771","(tie)","21.1","N/A"
"https://www.usnews.com/education/best-global-universities/kalinga-institute-of-industrial-technology-kiit-529846","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Kalinga Institute of Industrial Technology (KIIT)","Bhubaneswar","#64","#1,788","(tie)","20.4","N/A"
"https://www.usnews.com/education/best-global-universities/shivaji-university-529073","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shivaji University","Kolhapur","#65","#1,798","(tie)","20.1","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-durgapur-529772","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Durgapur","West Bengal","#66","#1,805","(tie)","19.8","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-silchar-529775","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Silchar","Silchar","#67","#1,818","(tie)","19.1","N/A"
"https://www.usnews.com/education/best-global-universities/osmania-university-529495","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Osmania University","Hyderabad","#68","#1,821","(tie)","19.0","N/A"
"https://www.usnews.com/education/best-global-universities/visvesvaraya-national-institute-of-technology-nagpur-529828","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Visvesvaraya National Institute of Technology, Nagpur","Nagpur","#68","#1,821","(tie)","19.0","N/A"
"https://www.usnews.com/education/best-global-universities/motilal-nehru-national-institute-of-technology-529854","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Motilal Nehru National Institute of Technology","Prayagraj","#70","#1,835","(tie)","18.5","N/A"
"https://www.usnews.com/education/best-global-universities/punjab-agricultural-university-529438","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Punjab Agricultural University","Ludhiana","#71","#1,849","(tie)","18.0","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-kashmir-530084","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Kashmir","Srinagar","#72","#1,878","","16.9","N/A"
"https://www.usnews.com/education/best-global-universities/birla-institute-of-technology-mesra-529871","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Birla Institute of Technology Mesra","Ranchi","#73","#1,888","(tie)","16.2","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-mandi-530093","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Mandi","Kamand","#74","#1,908","(tie)","15.1","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-engineering-science-technology-shibpur-iiest-529842","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Engineering Science Technology Shibpur (IIEST)","Howrah","#75","#1,915","","14.8","N/A"
"https://www.usnews.com/education/best-global-universities/siksha-o-anusandhan-university-530099","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Siksha 'O' Anusandhan University","Bhubaneswar","#76","#1,916","(tie)","14.5","N/A"
"https://www.usnews.com/education/best-global-universities/cochin-university-science-technology-530113","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cochin University Science & Technology","South Kalamassery","#77","#1,950","(tie)","12.4","N/A"
"https://www.usnews.com/education/best-global-universities/sathyabama-institute-of-science-technology-530127","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sathyabama Institute of Science & Technology","Chennai","#78","#1,969","(tie)","10.9","N/A"
"https://www.usnews.com/education/best-global-universities/tezpur-university-530132","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tezpur University","Tezpur Sonitpu","#79","#1,974","","9.9","N/A"
"https://www.usnews.com/education/best-global-universities/punjabi-university-530135","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Punjabi University","Patiala","#80","#1,976","(tie)","9.6","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-calicut-529867","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Calicut","Kozhikode","#81","#1,980","","9.4","N/A"
"https://www.usnews.com/education/best-global-universities/gauhati-university-529649","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Gauhati University","Guwahai","Unranked","Unranked","","N/A","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-ropar-529980","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Ropar","Rupnagar","Unranked","Unranked","","N/A","N/A"
