"University_link","Picture_Url","University_Name","City","Rank_In_Uk","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/open-university-uk-506455","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Open University - UK","Milton Keynes","#58","#770","43.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-brighton-528973","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Brighton","Brighton","#59","#789","43.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/nottingham-trent-university-529163","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Nottingham Trent University","Nottingham","#60","#807","43.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/ulster-university-528872","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Ulster University","Coleraine","#61","#814","42.8","19,680","(tie)"
"https://www.usnews.com/education/best-global-universities/bangor-university-528852","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bangor University","Bangor","#62","#884","41.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/bournemouth-university-529060","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bournemouth University","Poole","#62","#884","41.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/city-university-london-503692","https://www.usnews.com/static-atlas/assets/img/education/education.svg","City University London","London (U.K.)","#64","#889","41.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/birkbeck-university-london-506805","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Birkbeck University London","London (U.K.)","#65","#912","40.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-lincoln-529675","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Lincoln","Lincoln (U.K.)","#66","#935","40.1","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/edinburgh-napier-university-529991","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Edinburgh Napier University","Edinburgh","#67","#943","40.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/aberystwyth-university-528922","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aberystwyth University","Aberystwyth","#68","#953","39.8","6,265","(tie)"
"https://www.usnews.com/education/best-global-universities/keele-university-504593","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Keele University","Staffordshire","#68","#953","39.8","9,195","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-london-royal-veterinary-college-528814","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of London Royal Veterinary College","London (U.K.)","#70","#959","39.7","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/oxford-brookes-university-529009","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Oxford Brookes University","Oxford","#71","#1,013","38.5","14,580","(tie)"
